SKU,DESCRIPCION,GRUPO,FAMILIA,SUBFAMILIA,TIPO
P0202112806,TRAVERTINO NATURAL SPLIT WHITE 30.5 X 30.5 X 1 CM,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO NATURAL SPLIT WHITE
P041920530,CRISTALLO COSMOPOLITAN PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,CRISTALLO,CRISTALLO COSMOPOLITAN
P0201120513,GRANITO EUROPE GREEN PLACA 2 CM PULIDO,PIEDRAS NATURALES,LOZAS,GRANITOS,GRANITO EUROPE GREEN
P0201120514,GRANITO TORRONCINO PLACA 2 CM PULIDO,PIEDRAS NATURALES,LOZAS,GRANITOS,GRANITO TORRONCINO
P0410014203,GRANITO PEDIDOS EPECIALES,PIEDRAS NATURALES,PEDIDOS ESPECIALES,GRANITOS,EXTRA
F0321014394,606723  HARO LIBRO DE CLASIFICACIONES PARQUET,MERCADOTECNIA,COMPLEMENTOS,SELEKTIA TECNO,EXTRA
F0321014395,606127  HARO LIBRO PARQUET 2 CAPAS / 3 CAPAS,MERCADOTECNIA,COMPLEMENTOS,SELEKTIA TECNO,EXTRA
F0207000001,MULTIPLY VARIOS RECUPERACION 4' X 8' X  18mm,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY COMERCIAL,EXTRA
F0210033003,CIMBRA 4' X 8'   18mm,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY COMERCIAL,EXTRA
F0210033004,CIMBRA 4' X 8'   15mm CD,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY COMERCIAL,EXTRA
F0103001001,ALDER CABINET 4/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001002,ALDER CABINET 6/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001003,ALDER CABINET 8/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001005,ALDER SUPERIOR 4/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001006,ALDER SUPERIOR 6/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001007,ALDER SUPERIOR 8/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001008,"ALDER SUPERIOR 1 FACE 6/4""",FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001009,ALDER CUSTOM SHOP 4/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001010,ALDER CUSTOM SHOP 8/4'' ***,FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001011,ALDER CABINET COLOR 4/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001012,ALDER FRAME 8/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001013,ALDER FRAME 4/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001014,ALDER FRAME 6/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0101003003,"BALSAMO CORTO  2' A 5'  4/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,BALSAMO
F0101003001,"BALSAMO SELECTO  4/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,BALSAMO
F0320003001,BALSAMO PREMIUM  L: 300 - 2100mm  A: 75mm  E: 19mm  -  PISO SOLIDO***,SELEKTIA,PISOS DE MADERA,PISOS SÓLIDOS,BALSAMO
F0320003003,BALSAMO NATURAL  L: 300 - 2100mm  A: 75mm  E: 19mm  -  PISO SOLIDO***,SELEKTIA,PISOS DE MADERA,PISOS SÓLIDOS,BALSAMO
F0320003004,BALSAMO NATURAL  L: 300 - 2100mm  A: 83mm  E: 19mm  -  PISO SOLIDO***,SELEKTIA,PISOS DE MADERA,PISOS SÓLIDOS,BALSAMO
F0320003005,BALSAMO NATURAL  L: 300 - 2100mm  A: 127mm  E: 19mm  -  PISO SOLIDO***,SELEKTIA,PISOS DE MADERA,PISOS SÓLIDOS,BALSAMO
F0422003001,DECK BALSAMO 22MM x 100MM,SELEKTIA,DECKS Y VIGAS,DECKING,BALSAMO
F0422003002,DECK BALSAMO 22MM x 90MM,SELEKTIA,DECKS Y VIGAS,DECKING,BALSAMO
F0422003003,DECK BALSAMO 22MM x 80MM,FORESTIA,DECKS Y VIGAS,DECKING,BALSAMO
F0501044116,"VIGAS BALSAMO 2"" X 4"" X 20'",SELEKTIA,VIGAS,MADERAS TROPICALES IMPORTADA,BALSAMO
F0501044117,"VIGAS BALSAMO 2"" X 6"" X 20'",SELEKTIA,VIGAS,MADERAS TROPICALES IMPORTADA,BALSAMO
F0501085001,"VIGAS BALSAMO 4"" X 8"" X 20'***",FORESTIA,DECKS Y VIGAS,VIGAS,BALSAMO
F0501085002,"VIGAS BALSAMO 3"" X 6"" X 20'***",FORESTIA,DECKS Y VIGAS,VIGAS,BALSAMO
F0101006031,INSTALACION PISO VINIL GLUE DOWN,SELEKTIA,SERVICIO DE INSTALACION,MANO DE OBRA DE INSTALACION,CAOBA GENUINA
F0102004001,CAOBA MR   KD 10 - 12%,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102004002,CAOBA SEGUNDA ***,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102004003,CAOBA SELECTA  12' a +   KD 10 - 12%,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102004004,CAOBA SELECTA  8' a 11'   KD 10 - 12%,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102004005,CAOBA SELECTA  7'   KD 10 - 12%,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102004006,CAOBA SELECTA  6'   KD 10 - 12%,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102004007,CAOBA SELECTA CORTA 2' A 5'   KD 10 - 12%,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102004008,CAOBA NO.1  CORTA 2' A 5'   KD 10 - 12%,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102004009,CAOBA NO.1  6' a +   KD 10 - 12%,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102004010,"CAOBA SELECTA 6' a 16' ""RAIN"" ***",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102005006,"CAOBA PRIMERA 4/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102005007,"CAOBA PRIMERA 6/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102005008,"CAOBA PRIMERA 8/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0102005011,"CAOBA SELECTA 4/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CAOBA GENUINA
F0102005012,"CAOBA SELECTA 6/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CAOBA GENUINA
F0102005013,"CAOBA SELECTA 8/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CAOBA GENUINA
F0102005014,"CAOBA SELECTO 12/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CAOBA GENUINA
F0102045006,CAOBA EN PROCESO DE PRODUCCION,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CAOBA GENUINA
F0201004001,CAOBA 4' X 8'   4.8mm   A-4  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,KHAYA (CAOBA AFRICANA)
F0201004003,CAOBA 4' X 8'   12mm   A/B  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,KHAYA (CAOBA AFRICANA)
F0201004004,CAOBA 4' X 8'   15mm   A/B  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,KHAYA (CAOBA AFRICANA)
F0201004005,CAOBA 4' X 8'   18mm   A/B  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,KHAYA (CAOBA AFRICANA)
F0201004006,CAOBA 4' X 8'   15mm   A/B  BLOCKBOARD (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,KHAYA (CAOBA AFRICANA)
F0201004007,CAOBA 4' X 8'   18mm   A/B  BLOCKBOARD (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,KHAYA (CAOBA AFRICANA)
F0102005001,"KHAYA (CAOBA AFRICANA) SELECTA 4/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,KHAYA (CAOBA AFRICANA)
F0102005002,"KHAYA (CAOBA AFRICANA) SELECTA 5/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,KHAYA (CAOBA AFRICANA)
F0102005003,"KHAYA (CAOBA AFRICANA) SELECTA 6/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,KHAYA (CAOBA AFRICANA)
F0102005004,"KHAYA (CAOBA AFRICANA) SELECTA 8/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,KHAYA (CAOBA AFRICANA)
F0102005005,"KHAYA (CAOBA AFRICANA) SELECTA 10/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,KHAYA (CAOBA AFRICANA)
F0501066002,VIGAS CAOBA 100MM X 200MM X 4.8MTS,FORESTIA,DECKS Y VIGAS,VIGAS,KHAYA (CAOBA AFRICANA)
F0501006001,VIGAS CEDRO 100MM X 200MM X 4.8MTS,FORESTIA,DECKS Y VIGAS,VIGAS,CEDRO ODORATA
F0207047013,CEDRO ODORATA 4' X 8'   4.8mm   A/B  MULTIPLY MUESTRA***,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY COMERCIAL,CEDRO ODORATA
F0102006001,CEDRO ODORATA NACIONAL KD ***,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0102006002,CEDRO ODORATA SEGUNDA,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0102006003,CEDRO ODORATA NACIONAL EN PROCESO DE PRODUCCION,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0102006004,"CEDRO ODORATA NACIONAL 4/4"" KD",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0102006005,"CEDRO ODORATA NACIONAL 6/4"" KD",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0102006006,"CEDRO ODORATA NACIONAL 8/4"" KD",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0101008001,CEDRO ODORATA SELECTO AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101008002,CEDRO ODORATA SELECTO  7' AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101008003,CEDRO ODORATA SELECTO  6' AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101008004,CEDRO ODORATA PADRON AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101008005,CEDRO ODORATA PADRON  6' AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101008006,CEDRO ODORATA PRIMERA NAC AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0101008007,CEDRO ODORATA SEGUNDA NAC AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0101008008,CEDRO ODORATA CORTO 5' NAC AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0101008009,CEDRO ODORATA CORTO 4' NAC AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0101008010,CEDRO ODORATA CORTO 3' NAC AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0101008011,CEDRO ODORATA CORTO 2' NAC AD,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES NACIONAL,CEDRO ODORATA
F0101007014,"CEDRO ODORATA No.1 4/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101007015,"CEDRO ODORATA No.1 6/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101007016,"CEDRO ODORATA No.1 8/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006001,"CEDRO ODORATA FAS 12/4"" Y 16/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006002,"CEDRO ODORATA FAS  7'   3"" Y 4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006003,CEDRO ODORATA FAS 4/4 ***,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006004,CEDRO ODORATA FAS 7',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006005,CEDRO ODORATA SELECTO 4/4'',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006006,CEDRO ODORATA SELECTO  7',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006007,CEDRO ODORATA SELECTO  6' ***,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006008,CEDRO ODORATA PRIMERA COMUN Y MEJOR,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006009,CEDRO ODORATA PRIMERA COMUN Y MEJOR 7',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006010,CEDRO ODORATA PRIMERA COMUN,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006011,CEDRO ODORATA PRIMERA COMUN 7',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006012,CEDRO ODORATA PADRON 4/4 ***,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006013,CEDRO ODORATA PADRON  6',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006014,CEDRO ODORATA No. 1 ***,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006015,CEDRO ODORATA No. 1  6',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006016,CEDRO ODORATA SEGUNDA,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006017,CEDRO ODORATA CORTO,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006018,"CEDRO ODORATA FAS CORTO 3'-6' 4/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006019,"CEDRO ODORATA FAS CORTO 3'-6' 6/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006020,"CEDRO ODORATA FAS CORTO 3'-6' 8/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006021,CEDRO ODORATA FAS  6' ***,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006022,"CEDRO ODORATA FAS 4/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006023,"CEDRO ODORATA FAS 6/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006024,"CEDRO ODORATA FAS 8/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006025,CEDRO ODORATA FAS 6',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006050,CEDRO ODORATA SELECTO 8/4'',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006051,CEDRO ODORATA SELECTO 6/4'',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006052,"CEDRO ODORATA SELECTO ""RAIN"" MTY",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101006308,CEDRO ODORATA PADRON 8/4 ***,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
P0304007307,CEDRO ODORATA PADRON 6/4 ***,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO ODORATA
F0101007001,"CEDRO REAL FAS   3"" Y 4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007002,"CEDRO REAL FAS 7'   3"" Y 4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007003,CEDRO REAL FAS,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007004,CEDRO REAL FAS 7',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007005,CEDRO REAL SELECTO,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007006,CEDRO REAL SELECTO  7',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007007,CEDRO REAL SELECTO  6' ***,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007008,CEDRO REAL PRIMERA COMUN Y MEJOR,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007009,CEDRO REAL PRIMERA COMUN Y MEJOR  7',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007010,CEDRO REAL PRIMERA COMUN,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007011,CEDRO REAL PRIMERA COMUN  7',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007012,CEDRO REAL PADRON,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007013,CEDRO REAL PADRON  6',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007017,CEDRO REAL CORTO 5',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007018,CEDRO REAL CORTO 4',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007019,CEDRO REAL CORTO 3',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007020,CEDRO REAL CORTO 2',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0101007021,CEDRO REAL SELECTO & FAS 6/4'',FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CEDRO REAL
F0201007001,CEDRO 4' X 8'   4.8mm   B/C  MULTIPLY (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007002,CEDRO 4' X 8'   5.0mm   B/C  MULTIPLY (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007004,CEDRO 4' X 8'   9mm   B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007005,CEDRO  4' X 8'   12mm   B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007006,CEDRO 4' X 8'   15mm  B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007007,CEDRO 4' X 8'   18mm   B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007008,CEDRO 4' X 8'   15mm   B/C  LISTON,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007009,CEDRO 4' X 8'   18mm   B/C  LISTON,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007010,CEDRO 4' X 8'   5.0mm   B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007011,CEDRO 4' X 8'   5.0mm   C/C    MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007012,CEDRO 4' X 8'   5.2mm   C/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007013,CEDRO 4' X 8'   9mm   C/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007014,CEDRO 4' X 8'   12mm   B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007015,CEDRO 4' X 8'   15mm   B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007016,CEDRO 4' X 8'   18mm   B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007017,CEDRO 4' X 8'   15mm   C/C  LISTON,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007018,CEDRO 4' X 8'   18mm   C/C  LISTON,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007019,CEDRO 3' X 7'   4.0mm   B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007020,CEDRO 4' X 8'   5.2mm   B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0201007021,CEDRO 4' X 8'   19mm   2C,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0208007027,CEDRO 4' X 8'   4.0mm   B/C  MULTIPLY (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0208007029,CEDRO  4' X 8'   12mm   B/C  MULTIPLY (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0208007030,CEDRO 3' X 7'   4.0mm   B/C  MULTIPLY (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0208007031,CEDRO 4' X 8'   15mm  B/C  MULTIPLY (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0208007032,CEDRO 4' X 8'   18mm   B/C  MULTIPLY (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEDRO REAL
F0501007001,"VIGAS CEDRO 4"" X 7"" X 20'",FORESTIA,DECKS Y VIGAS,VIGAS,CEDRO REAL
F0211009016,MD CEREZO  4' X 8'   15mm   A/B,FORESTIA,TRIPLAY Y OTROS TABLEROS,MDENCHAPADO NATURAL,CEREZO
F0211057014,MD CEREZO  4' X 8'   12mm   A/B (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,MDENCHAPADO NATURAL,CEREZO
F0211057015,MD CEREZO  4' X 8'   18mm   A/B (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,MDENCHAPADO NATURAL,CEREZO
F0103009001,"CEREZO AMERICANO FAS   4/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,CEREZO
F0103009002,"CEREZO AMERICANO No. 1   4/4""",FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,CEREZO
F0103009003,"CEREZO AMERICANO FAS   6/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,CEREZO
F0103009004,"CEREZO AMERICANO FAS   8/4"" ***",FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,CEREZO
F0203009001,CEREZO 4' X 8'   4.8mm   A-4  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEREZO
F0203009002,CEREZO 4' X 8'   12mm   A/B  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEREZO
F0203009003,CEREZO 4' X 8'   18mm   A/B  BLOCKBOARD (MORI),FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CEREZO
F0201010001,CONGONA  4' X 8'  5.2mm   B/C  MULTIPLY,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY DECORATIVO,CONGONA
F0101010001,CONGONA SELECTA,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CONGONA
F0101010002,CONGONA No. 1,FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,CONGONA
F0320010001,CONGONA PREMIUM  L: 300 - 2100mm  A: 127mm  E: 19mm  -  PISO SOLIDO***,SELEKTIA,PISOS DE MADERA,PISOS SÓLIDOS,CONGONA
F0320010002,CONGONA PREMIUM  L: 300 - 2100mm  A: 100mm  E: 19mm  -  PISO SOLIDO***,SELEKTIA,PISOS DE MADERA,PISOS SÓLIDOS,CONGONA
F0313010001,CLASSEN NEO WOOD 13***,SELEKTIA,PISOS LAMINADO,SELEKTIA COMERCIAL,NEO
